"No.","Time","Source","Source Port","Destination","Destination Port","Protocol","Length","Info"
"143","2020-06-06 13:36:56,878291","192.168.100.121","netbios-dgm","192.168.100.255","netbios-dgm","BROWSER","220","Request Announcement USER-PC"
"144","2020-06-06 13:36:56,878375","192.168.100.121","netbios-dgm","192.168.100.255","netbios-dgm","BROWSER","220","Request Announcement USER-PC"
"145","2020-06-06 13:36:56,878757","192.168.100.121","netbios-dgm","192.168.100.255","netbios-dgm","BROWSER","250","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"146","2020-06-06 13:36:57,141639","192.168.100.2","domain","192.168.100.121","63449","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"147","2020-06-06 13:36:57,333051","192.168.100.121","63450","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"148","2020-06-06 13:36:57,338675","192.168.100.2","domain","192.168.100.121","63450","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"149","2020-06-06 13:36:57,339087","192.168.100.121","63451","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"150","2020-06-06 13:36:58,568581","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
"151","2020-06-06 13:36:59,351170","192.168.100.2","domain","192.168.100.121","63451","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"152","2020-06-06 13:36:59,351536","192.168.100.121","","192.168.100.2","","ICMP","115","Destination unreachable (Port unreachable)"
"153","2020-06-06 13:36:59,504987","192.168.100.121","63452","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"154","2020-06-06 13:36:59,510269","192.168.100.2","domain","192.168.100.121","63452","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"155","2020-06-06 13:36:59,510691","192.168.100.121","63453","192.168.100.2","domain","DNS","87","Standard query 0x0002 TXT c.1-1.24006.ns.ostrykebs.pl"
"156","2020-06-06 13:37:00,518787","192.168.100.2","domain","192.168.100.121","63453","DNS","87","Standard query response 0x0002 Server failure TXT c.1-1.24006.ns.ostrykebs.pl"
"157","2020-06-06 13:37:00,552540","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
